epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7752.48,0.52388,0.76146,0.41859,0.87092,0.91482,0.89675,0.94824,0.86409,0.91405,0.89573,0.94633,0.82857,0.42126,0.75413,0.39344,0.85333,0.003367,0.003367,0.003367
69,7858.07,0.52053,0.76233,0.41628,0.86809,0.9132,0.8993,0.94921,0.86506,0.9142,0.89872,0.94855,0.8305,0.41756,0.75151,0.39363,0.85102,0.003268,0.003268,0.003268
70,7963.2,0.52575,0.75985,0.41878,0.87094,0.90406,0.90613,0.94989,0.86606,0.90622,0.90443,0.94797,0.83041,0.41823,0.7521,0.39124,0.85152,0.003169,0.003169,0.003169
71,8068.87,0.52328,0.7672,0.41487,0.86996,0.91466,0.89289,0.94904,0.86631,0.91547,0.895,0.95017,0.83118,0.41775,0.74918,0.39228,0.85029,0.00307,0.00307,0.00307
72,8175.2,0.52166,0.75494,0.41339,0.86876,0.92111,0.89413,0.95032,0.86653,0.92177,0.89381,0.9489,0.83052,0.41829,0.74852,0.38857,0.85186,0.002971,0.002971,0.002971
73,8279.96,0.52041,0.75446,0.41147,0.86762,0.91762,0.89443,0.94912,0.86602,0.91819,0.89465,0.94918,0.83173,0.41976,0.7496,0.38848,0.85197,0.002872,0.002872,0.002872
74,8385.03,0.51909,0.74994,0.41009,0.86608,0.91747,0.89289,0.94948,0.86531,0.91721,0.89264,0.94835,0.83165,0.42003,0.74407,0.3895,0.85339,0.002773,0.002773,0.002773
75,8490.05,0.52068,0.75593,0.40635,0.8674,0.92455,0.88695,0.94912,0.86617,0.92443,0.88652,0.94901,0.83259,0.41916,0.74999,0.39293,0.8536,0.002674,0.002674,0.002674
76,8595.52,0.5142,0.74231,0.40414,0.86507,0.91589,0.88917,0.94913,0.86628,0.91537,0.88861,0.94842,0.83266,0.41812,0.75171,0.39391,0.85339,0.002575,0.002575,0.002575
77,8701.5,0.51645,0.75177,0.40377,0.86431,0.89968,0.90862,0.94906,0.8658,0.89915,0.90868,0.94794,0.83118,0.42022,0.75422,0.39313,0.85373,0.002476,0.002476,0.002476
78,8806.72,0.51404,0.74097,0.39698,0.86433,0.90323,0.90274,0.94926,0.8663,0.90347,0.90296,0.9488,0.83209,0.41953,0.75112,0.39044,0.85371,0.002377,0.002377,0.002377
79,8911.25,0.51244,0.74224,0.39721,0.865,0.90418,0.90537,0.94852,0.86506,0.90324,0.90588,0.9482,0.83117,0.41911,0.75089,0.3897,0.85373,0.002278,0.002278,0.002278
80,9018.25,0.51305,0.74549,0.3986,0.86434,0.90434,0.90642,0.94819,0.86448,0.90483,0.90689,0.94791,0.83075,0.41936,0.75002,0.39035,0.85317,0.002179,0.002179,0.002179
81,9126.09,0.50747,0.73606,0.39368,0.86335,0.90536,0.90278,0.94858,0.86665,0.90586,0.90325,0.948,0.83106,0.41798,0.74775,0.3896,0.85203,0.00208,0.00208,0.00208
82,9231.15,0.51304,0.73956,0.39694,0.86353,0.90441,0.90266,0.94905,0.8669,0.90484,0.90294,0.9481,0.83025,0.41776,0.74721,0.3899,0.85197,0.001981,0.001981,0.001981
83,9336.9,0.50777,0.73094,0.39281,0.86199,0.90205,0.90659,0.94842,0.86684,0.90281,0.90547,0.94749,0.83019,0.41809,0.74956,0.38659,0.85136,0.001882,0.001882,0.001882
84,9442.58,0.50582,0.72972,0.3877,0.86222,0.9005,0.90628,0.94851,0.86695,0.90127,0.90503,0.9472,0.8301,0.41806,0.74886,0.38754,0.85169,0.001783,0.001783,0.001783
85,9547.72,0.50482,0.72637,0.38218,0.85906,0.90191,0.90404,0.94861,0.86651,0.90202,0.90365,0.94619,0.82928,0.41744,0.75314,0.38846,0.85134,0.001684,0.001684,0.001684
86,9651.61,0.50139,0.72972,0.38516,0.86049,0.90799,0.90241,0.94797,0.86628,0.9078,0.90146,0.94559,0.8297,0.41666,0.75589,0.388,0.85143,0.001585,0.001585,0.001585
87,9755.9,0.50064,0.72405,0.38208,0.85971,0.91388,0.89606,0.94774,0.86633,0.91363,0.8958,0.94599,0.83,0.41501,0.75183,0.38803,0.851,0.001486,0.001486,0.001486
88,9860.54,0.49905,0.72007,0.37736,0.85876,0.90919,0.90211,0.94818,0.86667,0.90701,0.90408,0.94671,0.83019,0.41514,0.75212,0.38752,0.85121,0.001387,0.001387,0.001387
89,9965.94,0.49635,0.71655,0.37255,0.85875,0.90889,0.90084,0.94756,0.8657,0.90875,0.90049,0.94604,0.82998,0.41524,0.7502,0.38834,0.85135,0.001288,0.001288,0.001288
90,10070.1,0.49915,0.72153,0.37495,0.85859,0.90788,0.90107,0.94771,0.86608,0.9081,0.90048,0.94634,0.83068,0.41522,0.74913,0.38872,0.85137,0.001189,0.001189,0.001189
91,10185.6,0.46014,0.6933,0.32515,0.8341,0.90268,0.90559,0.94783,0.86571,0.90472,0.90286,0.94642,0.83139,0.41489,0.74974,0.39033,0.85089,0.00109,0.00109,0.00109
92,10288.5,0.45928,0.68696,0.31839,0.83242,0.90537,0.90374,0.94749,0.86535,0.90488,0.90266,0.94621,0.83114,0.41491,0.75158,0.39186,0.85114,0.000991,0.000991,0.000991
93,10391.8,0.45826,0.682,0.31411,0.83184,0.90609,0.90441,0.94715,0.86497,0.90591,0.90403,0.94589,0.8303,0.4151,0.75244,0.39216,0.85143,0.000892,0.000892,0.000892
94,10494.9,0.45428,0.68305,0.31182,0.83053,0.90558,0.90416,0.9475,0.86457,0.90529,0.90339,0.94562,0.83019,0.41489,0.75442,0.39211,0.85172,0.000793,0.000793,0.000793
95,10598.4,0.45264,0.67613,0.30772,0.83022,0.90627,0.90409,0.94648,0.86436,0.90553,0.90336,0.94473,0.8301,0.4152,0.75805,0.39272,0.85205,0.000694,0.000694,0.000694
96,10701.9,0.44932,0.6775,0.30283,0.82947,0.90697,0.90311,0.94533,0.86358,0.90679,0.90272,0.94411,0.82955,0.41613,0.76034,0.39255,0.8526,0.000595,0.000595,0.000595
97,10805.2,0.44676,0.67162,0.30091,0.82857,0.90941,0.89975,0.94525,0.863,0.90967,0.89949,0.94323,0.82908,0.41629,0.76245,0.39258,0.85234,0.000496,0.000496,0.000496
98,10908.6,0.44908,0.67379,0.30014,0.82755,0.9125,0.89607,0.94513,0.86332,0.91205,0.89544,0.94309,0.82904,0.41581,0.76371,0.39188,0.85208,0.000397,0.000397,0.000397
99,11012.2,0.44724,0.67088,0.29709,0.82775,0.90673,0.90189,0.94485,0.86337,0.91139,0.89856,0.94319,0.82864,0.41541,0.7646,0.3917,0.85181,0.000298,0.000298,0.000298
100,11115.8,0.4465,0.67272,0.29431,0.8291,0.90347,0.9052,0.94486,0.86302,0.91458,0.89409,0.9433,0.82822,0.4148,0.7663,0.39173,0.85164,0.000199,0.000199,0.000199
